timestamp,serial,city,location_id,temperature,weather,aqi,pollutant
"2024-02-02 22:32:27,086","0,141",海淀,101010200,-5°C,多云,95,PM2.5
"2024-02-02 23:32:28,506","0,142",海淀,101010200,-4°C,多云,87,PM2.5
"2024-02-02 23:41:42,894","0,2435",海淀,101010200,-4°C,多云,75,PM2.5
"2024-02-02 23:42:00,886","0,2439",海淀,101010200,-4°C,多云,75,PM2.5
"2024-02-02 23:42:16,165","0,2441",海淀,101010200,-4°C,多云,75,PM2.5
"2024-02-02 23:42:27,387","0,2446",海淀,101010200,-4°C,多云,75,PM2.5
"2024-02-03 00:46:07,513","0,4065",海淀,101010200,-5°C,多云,79,PM2.5
"2024-02-03 01:46:11,485","0,5695",海淀,101010200,-5°C,多云,77,PM2.5
"2024-02-03 02:46:13,813","0,7402",海淀,101010200,-6°C,多云,67,PM2.5
"2024-02-03 03:46:16,779","0,9148",海淀,101010200,-6°C,多云,67,PM2.5
"2024-02-03 04:46:18,015","0,10963",海淀,101010200,-6°C,多云,70,PM2.5
"2024-02-03 05:46:20,350","0,12594",海淀,101010200,-8°C,多云,72,PM2.5
"2024-02-03 06:46:22,984","0,14148",海淀,101010200,-8°C,晴,75,PM2.5
"2024-02-03 07:46:26,753","0,15502",海淀,101010200,-8°C,晴,73,PM2.5
"2024-02-03 08:46:28,426","0,16803",海淀,101010200,-7°C,晴,67,PM2.5
"2024-02-03 09:46:30,164","0,17994",海淀,101010200,-4°C,多云,65,PM2.5
"2024-02-03 10:46:34,229","0,19062",海淀,101010200,0°C,多云,75,PM2.5
"2024-02-03 11:46:44,527","0,20127",海淀,101010200,2°C,晴,79,PM2.5
"2024-02-03 12:46:47,858","0,21209",海淀,101010200,3°C,晴,74,PM2.5
"2024-02-03 13:46:49,180","0,22339",海淀,101010200,3°C,晴,65,PM2.5
"2024-02-03 14:46:54,581","0,23542",海淀,101010200,4°C,晴,63,PM2.5
"2024-02-03 15:46:57,215","0,24710",海淀,101010200,4°C,晴,61,PM10
"2024-02-03 16:47:00,080","0,25905",海淀,101010200,3°C,晴,60,PM2.5
"2024-02-03 17:47:01,709","0,27092",海淀,101010200,2°C,晴,70,PM2.5
"2024-02-03 18:47:06,257","0,28216",海淀,101010200,2°C,阴,78,PM2.5
"2024-02-03 19:47:23,980","0,29333",海淀,101010200,1°C,阴,84,PM2.5
"2024-02-03 20:47:26,385","0,30571",海淀,101010200,0°C,阴,99,PM2.5
"2024-02-03 21:47:28,636","0,31931",海淀,101010200,-2°C,多云,120,PM2.5
"2024-02-03 22:47:30,891","0,33402",海淀,101010200,-4°C,多云,128,PM2.5
"2024-02-03 23:47:33,776","0,34682",海淀,101010200,-5°C,多云,127,PM2.5
"2024-02-04 00:47:36,772","0,35969",海淀,101010200,-6°C,多云,123,PM2.5
"2024-02-04 01:47:39,774","0,37284",海淀,101010200,-6°C,多云,102,PM2.5
"2024-02-04 02:47:40,850","0,38722",海淀,101010200,-6°C,多云,98,PM2.5
"2024-02-04 03:47:43,835","0,40075",海淀,101010200,-6°C,多云,99,PM2.5
"2024-02-04 04:47:48,107","0,41582",海淀,101010200,-5°C,多云,104,PM2.5
"2024-02-04 05:47:49,583","0,42835",海淀,101010200,-5°C,多云,80,PM2.5
"2024-02-04 06:47:51,225","0,44546",海淀,101010200,-6°C,阴,74,PM2.5
"2024-02-04 07:47:56,563","0,46183",海淀,101010200,-4°C,阴,84,PM2.5
"2024-02-04 08:47:58,668","0,47566",海淀,101010200,-4°C,阴,110,PM2.5
"2024-02-04 09:48:00,741","0,48895",海淀,101010200,-4°C,多云,132,PM2.5
"2024-02-04 10:48:02,674","0,50066",海淀,101010200,-2°C,多云,127,PM2.5
"2024-02-04 11:48:05,230","0,51297",海淀,101010200,-1°C,多云,119,PM2.5
